original_title,genres,runtime,popularity,genres
Toy Story, Animation,81,21.946943,Animation
Jumanji, Adventure,104,17.015539,Adventure
Grumpier Old Men, Romance,101,11.7129,Romance
Waiting to Exhale, Comedy,127,3.859495,Comedy
Father of the Bride Part II, Comedy,106,8.387519,Comedy
Heat, Action,170,17.924927,Action
Sabrina, Comedy,127,6.677277,Comedy
Tom and Huck, Action,97,2.561161,Action
Sudden Death, Action,106,5.23158,Action
GoldenEye, Adventure,130,14.686036,Adventure
The American President, Comedy,106,6.318445,Comedy
Dracula: Dead and Loving It, Comedy,88,5.430331,Comedy
Balto, Family,78,12.140733,Family
Nixon, History,192,5.092,History
Cutthroat Island, Action,119,7.284477,Action
Casino, Drama,178,10.137389,Drama
Sense and Sensibility, Drama,136,10.673167,Drama
Four Rooms, Crime,98,9.026586,Crime
Ace Ventura: When Nature Calls, Crime,90,8.205448,Crime
Money Train, Action,103,7.337906,Action
Get Shorty, Comedy,105,12.669608,Comedy
Copycat, Drama,124,10.701801,Drama
Assassins, Action,132,11.065939,Action
Powder, Drama,111,12.133094,Drama
Leaving Las Vegas, Drama,112,10.332025,Drama
Othello, Drama,123,1.845899,Drama
Now and Then, Comedy,100,8.681325,Comedy
Persuasion, Drama,104,2.228434,Drama
La Cité des Enfants Perdus, Fantasy,108,9.822423,Fantasy
摇啊摇，摇到外婆桥, Drama,108,1.100915,Drama
Dangerous Minds, Drama,99,9.481338,Drama
Twelve Monkeys, Science Fiction,129,12.297305,Science Fiction
"Guillaumet, les ailes du courage", Romance,50,0.745542,Romance
Babe, Fantasy,89,14.404764,Fantasy
Carrington, History,121,1.493361,History
Dead Man Walking, Drama,122,6.891317,Drama
Across the Sea of Time, Adventure,51,0.114469,Adventure
It Takes Two, Comedy,101,7.777735,Comedy
Clueless, Comedy,97,9.882383,Comedy
"Cry, the Beloved Country", Drama,106,0.894647,Drama
Richard III, Drama,104,4.561387,Drama
Dead Presidents, Action,119,9.87957,Action
Restoration, Drama,117,10.979269,Drama
Mortal Kombat, Action,101,10.870138,Action
To Die For, Fantasy,106,10.448481,Fantasy
How To Make An American Quilt, Drama,116,4.485958,Drama
Se7en, Crime,127,18.45743,Crime
Pocahontas, Adventure,81,13.280069,Adventure
When Night Is Falling, Drama,96,3.302524,Drama
The Usual Suspects, Drama,106,16.302466,Drama
Guardian Angel, Action,93,0.595949,Action
Mighty Aphrodite, Comedy,95,15.899134,Comedy
Lamerica, Drama,116,1.361286,Drama
The Big Green, Action,100,5.982764,Action
Georgia, Drama,115,4.093443,Drama
Kids of the Round Table,[],89,0.307075,[]
Home for the Holidays, Comedy,103,8.416802,Comedy
Il postino, Comedy,108,10.168437,Comedy
Le confessionnal, Thriller,100,0.120789,Thriller
The Indian in the Cupboard, Adventure,96,10.673296,Adventure
Eye for an Eye, Drama,101,4.733526,Drama
Mr. Holland's Opus, Music,137,7.137117,Music
Don't Be a Menace to South Central While Drinking Your Juice in the Hood, Comedy,89,11.700115,Comedy
Two If by Sea, Comedy,96,2.174487,Comedy
Bio-Dome, Comedy,88,6.387469,Comedy
Lawnmower Man 2: Beyond Cyberspace, Action,92,2.49535,Action
Two Bits, Drama,85,4.046208,Drama
Gazon maudit, Comedy,95,2.518051,Comedy
Friday, Comedy,91,14.56965,Comedy
From Dusk Till Dawn, Horror,108,15.339153,Horror
Fair Game, Action,91,5.912223,Action
Kicking and Screaming, Comedy,96,3.367276,Comedy
Les misérables, Drama,175,1.479446,Drama
Bed of Roses, Drama,87,10.412194,Drama
Big Bully, Comedy,90,2.936443,Comedy
Screamers, Horror,108,12.758848,Horror
Nico Icon, Documentary,70,0.133893,Documentary
The Crossing Guard, Drama,111,5.756462,Drama
The Juror, Drama,118,6.010579,Drama
بادکنک سفید, Family,85,1.196256,Family
Things to Do in Denver When You're Dead, Drama,116,4.486179,Drama
Antonia, Drama,102,2.030174,Drama
Once Upon a Time... When We Were Colored, Romance,115,0.252287,Romance
Last Summer in the Hamptons,[],108,0.531159,[]
Angels and Insects, Drama,118,2.15166,Drama
White Squall, Action,129,9.568604,Action
Dunston Checks In, Adventure,88,4.814825,Adventure
Black Sheep, Comedy,87,8.963037,Comedy
Nick of Time, Crime,90,6.848591,Crime
The Journey of August King, Drama,91,0.411424,Drama
Mary Reilly, Drama,104,12.866139,Drama
Vampire in Brooklyn, Comedy,100,9.071127,Comedy
Beautiful Girls, Comedy,112,4.670562,Comedy
Broken Arrow, Action,108,14.957626,Action
A Midwinter's Tale, Comedy,99,0.513391,Comedy
La Haine, Drama,98,12.108196,Drama
Shopping, Action,105,2.657647,Action
Heidi Fleiss: Hollywood Madam, Documentary,106,0.638211,Documentary
City Hall, Drama,111,4.807223,Drama
Bottle Rocket, Comedy,91,6.904831,Comedy
Mr. Wrong, Comedy,96,3.329264,Comedy
Unforgettable, Drama,106,2.464425,Drama
Happy Gilmore, Comedy,92,9.592265,Comedy
The Bridges of Madison County, Drama,135,5.951077,Drama
Keiner liebt mich, Drama,104,1.015068,Drama
Muppet Treasure Island, Action,100,6.902423,Action
Catwalk, Documentary,95,0.976707,Documentary
Headless Body in Topless Bar, Crime,110,0.001346,Crime
Braveheart, Action,177,20.755149,Action
Taxi Driver, Crime,114,14.092713,Crime
紅番區, Crime,91,12.314278,Crime
Before and After, Drama,108,2.938293,Drama
Margaret's Museum, Drama,114,0.372697,Drama
Le Bonheur est dans le pré, Comedy,106,1.254885,Comedy
Anne Frank Remembered, Documentary,117,0.243986,Documentary
The Young Poisoner's Handbook, Comedy,99,6.178497,Comedy
If Lucy Fell, Comedy,92,2.891918,Comedy
Steal Big Steal Little, Comedy,113,1.522412,Comedy
Race the Sun, Action,100,1.317878,Action
The Boys of St. Vincent, Drama,90,0.86539,Drama
Boomerang, Comedy,117,6.506983,Comedy
重慶森林, Drama,102,6.778979,Drama
L'uomo delle stelle, Drama,113,1.702639,Drama
Flirting with Disaster, Comedy,92,5.579088,Comedy
The NeverEnding Story III, Fantasy,95,6.252377,Fantasy
صمت القصور, Drama,116,0.406754,Drama
Jupiter's Wife,[],87,0.001178,[]
Pie in the Sky, Comedy,95,0.699066,Comedy
Angela, Comedy,99,2.197439,Comedy
Frankie Starlight, Drama,101,0.637554,Drama
Jade, Action,95,11.418917,Action
Nueba Yol, Comedy,102,0.291021,Comedy
Sonic Outlaws, Music,87,0.001838,Music
Down Periscope, Comedy,92,5.184977,Comedy
From the Journals of Jean Seberg, Documentary,97,0.276401,Documentary
Man of the Year, Comedy,86,0.540436,Comedy
The Neon Bible, Drama,91,0.370342,Drama
Target,[],122,0.001205,[]
Up Close & Personal, Drama,119,3.402749,Drama
The Birdcage, Comedy,117,6.49968,Comedy
Gospa, Drama,125,0.918504,Drama
The Brothers McMullen, Comedy,98,2.039196,Comedy
Bad Boys, Action,118,9.262184,Action
The Amazing Panda Adventure, Action,81,2.375865,Action
The Basketball Diaries, Drama,102,7.415144,Drama
An Awfully Big Adventure, Romance,113,0.922958,Romance
Amateur, Crime,105,1.759012,Crime
Apollo 13, Drama,140,18.761467,Drama
Rob Roy, Adventure,139,10.193549,Adventure
The Addiction, Drama,82,3.137285,Drama
Batman Forever, Action,121,13.321354,Action
Belle de jour, Drama,101,10.142662,Drama
Beyond Rangoon, Drama,100,2.04189,Drama
Blue in the Face, Comedy,83,11.528147,Comedy
Canadian Bacon, Action,91,5.391556,Action
Casper, Fantasy,100,12.812539,Fantasy
Clockers, Mystery,128,4.558992,Mystery
Congo, Action,109,7.260574,Action
Crimson Tide, Action,116,8.657365,Action
Crumb, Documentary,119,3.620388,Documentary
Desperado, Thriller,104,6.950458,Thriller
Devil in a Blue Dress, Drama,102,4.646132,Drama
Die Hard: With a Vengeance, Action,128,15.138855,Action
The Doom Generation, Action,80,7.120806,Action
Feast of July, Drama,116,0.523575,Drama
First Knight, Action,134,15.178338,Action
Free Willy 2 - The Adventure Home, Adventure,95,7.575098,Adventure
Hackers, Action,107,14.810519,Action
Jeffrey, Comedy,92,3.196456,Comedy
Johnny Mnemonic, Adventure,97,11.715868,Adventure
Judge Dredd, Science Fiction,96,8.184815,Science Fiction
Jury Duty, Comedy,88,3.676921,Comedy
Kids, Drama,91,4.877872,Drama
Living in Oblivion, Drama,89,10.058329,Drama
Lord of Illusions, Mystery,119,4.102409,Mystery
Love & Human Remains, Comedy,100,0.354014,Comedy
Mad Love, Drama,95,2.624771,Drama
Mallrats, Romance,94,8.25547,Romance
Mighty Morphin Power Rangers: The Movie, Action,92,7.024227,Action
Moonlight and Valentino, Comedy,100,1.01115,Comedy
Mute Witness, Thriller,95,2.466066,Thriller
